epoch,auc,binary_accuracy,loss,val_auc,val_binary_accuracy,val_loss
0,0.9499824047088623,0.8909321427345276,0.285446435213089,0.9420270919799805,0.8289085626602173,0.4011169373989105
1,0.9722992777824402,0.9118579626083374,0.21623174846172333,0.9533307552337646,0.9085545539855957,0.22648082673549652
2,0.9710742235183716,0.9156626462936401,0.21701139211654663,0.9600801467895508,0.8702064752578735,0.29857364296913147
3,0.9800668954849243,0.9289790987968445,0.18335691094398499,0.9672409892082214,0.8495575189590454,0.36037808656692505
4,0.9845741987228394,0.9321496486663818,0.16477209329605103,0.9685578942298889,0.9233038425445557,0.19117017090320587
5,0.9889703989028931,0.9403931498527527,0.1366746425628662,0.9687774181365967,0.9085545539855957,0.236415833234787
6,0.9884944558143616,0.9467343091964722,0.13886509835720062,0.9726185202598572,0.8495575189590454,0.35137006640434265
7,0.9905452132225037,0.9492707848548889,0.12444313615560532,0.9743743538856506,0.9085545539855957,0.23529577255249023
8,0.9918978810310364,0.9518072009086609,0.1145794689655304,0.9778587818145752,0.8938053250312805,0.2493569403886795
9,0.9945050477981567,0.9600507020950317,0.0941598042845726,0.9751975536346436,0.9380530714988708,0.19459794461727142
10,0.9919120669364929,0.9499048590660095,0.11504814773797989,0.9819194674491882,0.9380530714988708,0.1540987193584442
11,0.9943596124649048,0.9568801522254944,0.09471911191940308,0.9778589010238647,0.8967551589012146,0.24552984535694122
12,0.9952005743980408,0.9663918614387512,0.08177483081817627,0.9782429933547974,0.9262536764144897,0.1851193755865097
13,0.997389018535614,0.9740012884140015,0.06460627913475037,0.9784350991249084,0.9262536764144897,0.22150805592536926
14,0.9966360330581665,0.9720989465713501,0.07345803827047348,0.975115180015564,0.8613569140434265,0.44139599800109863
15,0.9952757954597473,0.9625871777534485,0.08193856477737427,0.9812061190605164,0.9351032376289368,0.18653827905654907
16,0.9992445707321167,0.9841471314430237,0.04163174331188202,0.9816999435424805,0.9410029649734497,0.18664109706878662
17,0.9990658164024353,0.9822447896003723,0.04213390499353409,0.9817273616790771,0.9351032376289368,0.18337035179138184
18,0.9994679093360901,0.9866835474967957,0.03687208518385887,0.9803007245063782,0.9321534037590027,0.19468379020690918
19,0.998845100402832,0.9790741801261902,0.043701183050870895,0.9803280830383301,0.9321534037590027,0.20149822533130646
20,0.9990761876106262,0.9841471314430237,0.04089045897126198,0.9799165725708008,0.9321534037590027,0.20019742846488953
