epoch,auc,binary_accuracy,loss,val_auc,val_binary_accuracy,val_loss
0,0.8465858697891235,0.8142041563987732,0.4818495810031891,0.9119018912315369,0.8643068075180054,0.35387396812438965
1,0.9349101185798645,0.8839569091796875,0.3329346776008606,0.9182671904563904,0.8761062026023865,0.3426179587841034
2,0.948925793170929,0.8947368264198303,0.2980407178401947,0.920708954334259,0.8672566413879395,0.3388555347919464
3,0.952835738658905,0.8953709602355957,0.28589123487472534,0.9239738583564758,0.8820058703422546,0.3088429868221283
4,0.9569487571716309,0.9017121195793152,0.26942962408065796,0.9217514991760254,0.8348082304000854,0.4085357189178467
