epoch,auc,binary_accuracy,loss,val_auc,val_binary_accuracy,val_loss
0,0.9635207653045654,0.8985415101051331,0.2469472885131836,0.9287752509117126,0.8230088353157043,0.4229409098625183
1,0.9735166430473328,0.9169308543205261,0.20977374911308289,0.9473496079444885,0.8967551589012146,0.2893179953098297
2,0.9771842360496521,0.9245402812957764,0.19396667182445526,0.9518218040466309,0.8849557638168335,0.32471001148223877
3,0.9846649169921875,0.9486366510391235,0.15670187771320343,0.951327919960022,0.8466076850891113,0.422296941280365
4,0.9879648685455322,0.9467343091964722,0.1407454013824463,0.9554158449172974,0.8731563687324524,0.33118385076522827
5,0.9922475814819336,0.9575142860412598,0.11658871918916702,0.955498218536377,0.8908554315567017,0.27115947008132935
6,0.9928410053253174,0.956246018409729,0.11194616556167603,0.9524802565574646,0.8289085626602173,0.45123884081840515
7,0.9948036074638367,0.9638554453849792,0.09396660327911377,0.9553061723709106,0.8731563687324524,0.3160445988178253
8,0.9974745512008667,0.9746353626251221,0.07063791900873184,0.957473635673523,0.8967551589012146,0.29281356930732727
9,0.9971988797187805,0.9746353626251221,0.06987440586090088,0.9588728547096252,0.8908554315567017,0.30144551396369934
10,0.9980181455612183,0.9765377044677734,0.06122056022286415,0.9615617394447327,0.9056047201156616,0.2554957866668701
11,0.9988898038864136,0.9822447896003723,0.04720032960176468,0.9602172374725342,0.8997049927711487,0.27740582823753357
12,0.997978687286377,0.9765377044677734,0.05321069061756134,0.9624671339988708,0.9056047201156616,0.23729731142520905
13,0.999479353427887,0.987317681312561,0.03388691321015358,0.9605740308761597,0.8938053250312805,0.2761174440383911
14,0.9996797442436218,0.9904882907867432,0.02924400568008423,0.9580773115158081,0.8849557638168335,0.3331226110458374
15,0.9996299743652344,0.9879518151283264,0.03251458704471588,0.9587357640266418,0.8613569140434265,0.37725311517715454
16,0.9997318983078003,0.9904882907867432,0.025024667382240295,0.9658966660499573,0.9115044474601746,0.24344992637634277
17,0.9999183416366577,0.9961953163146973,0.017994297668337822,0.9696827530860901,0.9262536764144897,0.22848723828792572
18,0.9998558759689331,0.9955611824989319,0.017166830599308014,0.9585711359977722,0.8879055976867676,0.34637656807899475
19,0.9999732375144958,0.9961953163146973,0.015406046994030476,0.9621652364730835,0.9115044474601746,0.27239900827407837
20,0.9998367428779602,0.9955611824989319,0.018151983618736267,0.9620555639266968,0.9262536764144897,0.24665705859661102
21,0.9999783635139465,0.9974635243415833,0.011977773159742355,0.9626865983009338,0.9085545539855957,0.29590991139411926
22,1.0,0.9993658661842346,0.0061119128949940205,0.952782154083252,0.9203540086746216,0.27599036693573
23,0.9999898076057434,0.998731791973114,0.008049407042562962,0.9573090076446533,0.9056047201156616,0.30158913135528564
24,1.0,0.9993658661842346,0.005860271397978067,0.9522607922554016,0.9174041152000427,0.27962449193000793
25,1.0,1.0,0.004791655577719212,0.9576932787895203,0.9115044474601746,0.2866930365562439
26,0.9999999403953552,0.9993658661842346,0.0051824552938342094,0.9571443796157837,0.9115044474601746,0.28998762369155884
27,0.9999999403953552,0.9993658661842346,0.004456213675439358,0.9577479958534241,0.9144542813301086,0.28270572423934937
