epoch,auc,binary_accuracy,loss,val_auc,val_binary_accuracy,val_loss
0,0.9495522379875183,0.8934686183929443,0.2848251461982727,0.9563487768173218,0.8289085626602173,0.38063475489616394
1,0.967377245426178,0.9137603044509888,0.2344755381345749,0.9648540616035461,0.8731563687324524,0.2626832127571106
2,0.972892701625824,0.9093214869499207,0.21215587854385376,0.9696828126907349,0.8554572463035583,0.3119717240333557
3,0.9792808294296265,0.9353201985359192,0.18390338122844696,0.9704236388206482,0.8259587287902832,0.3780948221683502
4,0.985227644443512,0.9283449649810791,0.15809163451194763,0.9710272550582886,0.9085545539855957,0.21923184394836426
5,0.9848026633262634,0.9321496486663818,0.15827926993370056,0.974895715713501,0.8761062026023865,0.24907782673835754
6,0.9873114824295044,0.9391249418258667,0.1478935033082962,0.9771454930305481,0.8879055976867676,0.23394066095352173
7,0.9900563359260559,0.9448319673538208,0.12876522541046143,0.9761579036712646,0.8790560364723206,0.255548357963562
8,0.9910723567008972,0.9461001753807068,0.12261602282524109,0.9775295853614807,0.9026548862457275,0.21709945797920227
9,0.9924593567848206,0.9511731266975403,0.10983392596244812,0.9767888784408569,0.8908554315567017,0.224981889128685
10,0.9929927587509155,0.9543436765670776,0.10602887719869614,0.9758559465408325,0.9115044474601746,0.1907591074705124
11,0.9946517944335938,0.9543436765670776,0.09490024298429489,0.9775844812393188,0.9262536764144897,0.17351531982421875
12,0.9949542284011841,0.9619531035423279,0.08869984745979309,0.9783252477645874,0.9262536764144897,0.1708328276872635
13,0.9957849383354187,0.9625871777534485,0.08235136419534683,0.9792031049728394,0.9321534037590027,0.162814661860466
14,0.994705319404602,0.9708306789398193,0.07988451421260834,0.977200448513031,0.9056047201156616,0.22165940701961517
15,0.9961908459663391,0.9644895195960999,0.07827694714069366,0.9781606793403625,0.9262536764144897,0.1770125925540924
16,0.9971542358398438,0.967660129070282,0.06852354854345322,0.976102888584137,0.9115044474601746,0.19601674377918243
17,0.9984036087989807,0.9778059720993042,0.05072643235325813,0.9774473309516907,0.9174041152000427,0.20119115710258484
18,0.9977668523788452,0.9771718382835388,0.0559743270277977,0.9752523899078369,0.9115044474601746,0.1980375498533249
19,0.9990760684013367,0.9835129976272583,0.04120514541864395,0.9756639003753662,0.9115044474601746,0.20043928921222687
20,0.9992253184318542,0.9866835474967957,0.0389881432056427,0.9754170775413513,0.9056047201156616,0.21297939121723175
21,0.9993784427642822,0.9841471314430237,0.03589416667819023,0.975581705570221,0.9115044474601746,0.20017418265342712
22,0.9993581175804138,0.9879518151283264,0.032766494899988174,0.9695457816123962,0.9174041152000427,0.19220970571041107
23,0.9991947412490845,0.9879518151283264,0.03735103830695152,0.9763773083686829,0.9085545539855957,0.2278730273246765
