epoch,auc,binary_accuracy,loss,val_auc,val_binary_accuracy,val_loss
0,0.9222280383110046,0.866201639175415,0.34929656982421875,0.9333022832870483,0.8613569140434265,0.4011266529560089
1,0.9615057110786438,0.9118579626083374,0.24560320377349854,0.9410118460655212,0.8908554315567017,0.2607742249965668
2,0.964531421661377,0.9080532789230347,0.23715221881866455,0.94976407289505,0.9056047201156616,0.22493934631347656
3,0.9797096848487854,0.9220038056373596,0.18523535132408142,0.9441120624542236,0.8702064752578735,0.32050222158432007
4,0.981958270072937,0.9384908080101013,0.17138206958770752,0.9404082894325256,0.8879055976867676,0.2513410747051239
5,0.9886515140533447,0.9499048590660095,0.1390230804681778,0.9431244730949402,0.9026548862457275,0.24093540012836456
6,0.9891695976257324,0.9410272836685181,0.13622698187828064,0.951547384262085,0.9026548862457275,0.292790949344635
7,0.9908463954925537,0.9492707848548889,0.12089470028877258,0.950120747089386,0.8879055976867676,0.2737792134284973
8,0.9936819672584534,0.9606848359107971,0.10279624909162521,0.9542361497879028,0.8997049927711487,0.2604442834854126
9,0.9929174780845642,0.9638554453849792,0.10685780644416809,0.9473223090171814,0.8702064752578735,0.31637826561927795
10,0.9980678558349609,0.9759036302566528,0.059141866862773895,0.9467185735702515,0.8967551589012146,0.2880890369415283
11,0.9981138706207275,0.9733671545982361,0.058134954422712326,0.9468832015991211,0.8908554315567017,0.3355201482772827
12,0.9985426664352417,0.9778059720993042,0.05234507843852043,0.9447707533836365,0.8908554315567017,0.3008878231048584
13,0.9986231327056885,0.9778059720993042,0.04938412085175514,0.9424659609794617,0.8436577916145325,0.48193714022636414
14,0.9996504187583923,0.9898541569709778,0.029737534001469612,0.943645715713501,0.8790560364723206,0.32150396704673767
15,0.9998787641525269,0.9930247068405151,0.02504018321633339,0.9445785880088806,0.8879055976867676,0.3282775282859802
16,0.999720573425293,0.9904882907867432,0.025413423776626587,0.9459503293037415,0.8967551589012146,0.29763326048851013
17,0.9999884366989136,0.9961953163146973,0.017095787450671196,0.9473497271537781,0.8967551589012146,0.29227137565612793
18,0.9999463558197021,0.9949270486831665,0.017888840287923813,0.9486665725708008,0.9026548862457275,0.29760268330574036
