epoch,auc,binary_accuracy,loss,val_auc,val_binary_accuracy,val_loss
0,0.9372798800468445,0.8750792741775513,0.3157855272293091,0.9552512764930725,0.8613569140434265,0.34591221809387207
1,0.9695121645927429,0.9150285124778748,0.22502152621746063,0.9461973309516907,0.9262536764144897,0.21852809190750122
2,0.9709057211875916,0.9213696718215942,0.21601274609565735,0.9611775279045105,0.9203540086746216,0.19444610178470612
3,0.9833121299743652,0.9315155148506165,0.17063407599925995,0.9662258625030518,0.8908554315567017,0.3134905993938446
4,0.9853284955024719,0.9321496486663818,0.15641283988952637,0.9714388251304626,0.9292035102844238,0.18273763358592987
5,0.9906153678894043,0.9448319673538208,0.12616710364818573,0.9654576778411865,0.9174041152000427,0.2188335657119751
6,0.9907417893409729,0.9524413347244263,0.1222766563296318,0.964168131351471,0.8938053250312805,0.28444263339042664
7,0.9852991104125977,0.9467343091964722,0.14815491437911987,0.9689695239067078,0.8761062026023865,0.32123249769210815
8,0.9924224019050598,0.9556119441986084,0.11296547204256058,0.95733642578125,0.9292035102844238,0.21707868576049805
9,0.9932697415351868,0.9556119441986084,0.10759399086236954,0.9647717475891113,0.9115044474601746,0.23453745245933533
10,0.9977425336837769,0.9720989465713501,0.0692659243941307,0.9653204083442688,0.9115044474601746,0.23876288533210754
11,0.9989650845527649,0.9822447896003723,0.04715972766280174,0.9633175730705261,0.9233038425445557,0.21818627417087555
12,0.9985516667366028,0.9797083139419556,0.051735326647758484,0.9632353782653809,0.9262536764144897,0.22355355322360992
13,0.9985376596450806,0.980342447757721,0.04915817826986313,0.9618086814880371,0.9233038425445557,0.24433653056621552
14,0.9988986849784851,0.9866835474967957,0.04334894195199013,0.9559921026229858,0.9233038425445557,0.2465028613805771
